COUNTY_ID,COUNTY,TOWN_ID,TOWN,C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,工商業總家數,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業,資料時間
"65000","新北市","65000010","板橋區",30760,41,16,2371,14,148,3518,13995,1823,2534,576,741,805,1274,588,0,81,27,649,1559,"109Y06M"
"65000","新北市","65000020","三重區",26802,23,5,4188,12,106,2239,13208,457,1811,401,540,646,911,491,0,52,14,528,1170,"109Y06M"
"65000","新北市","65000030","中和區",25351,66,4,3347,11,70,2626,11937,509,1850,579,598,545,1125,477,0,49,5,509,1044,"109Y06M"
"65000","新北市","65000040","永和區",11060,18,2,438,5,28,1009,5279,159,1114,263,487,369,633,244,0,41,6,305,660,"109Y06M"
"65000","新北市","65000050","新莊區",26089,30,5,5556,19,118,2488,10928,515,1900,305,526,705,780,482,0,61,14,563,1094,"109Y06M"
"65000","新北市","65000060","新店區",15757,31,3,1169,13,50,1595,7266,320,1453,503,566,444,787,344,0,58,11,395,749,"109Y06M"
"65000","新北市","65000070","樹林區",12501,13,6,4122,6,73,1026,4725,388,608,112,172,233,257,146,0,12,3,231,368,"109Y06M"
"65000","新北市","65000080","鶯歌區",4914,7,6,882,3,27,603,2428,102,235,40,62,90,97,66,0,8,3,88,167,"109Y06M"
"65000","新北市","65000090","三峽區",5435,18,8,513,3,25,597,2644,171,574,56,84,110,131,103,1,14,4,117,262,"109Y06M"
"65000","新北市","65000100","淡水區",8943,24,1,585,14,28,920,3872,226,1226,189,166,288,405,201,0,51,6,288,453,"109Y06M"
"65000","新北市","65000110","汐止區",13553,24,7,1565,13,47,1505,6330,388,992,328,334,270,647,269,0,26,13,264,531,"109Y06M"
"65000","新北市","65000120","瑞芳區",1972,2,4,121,3,9,300,914,69,316,10,21,12,24,37,0,2,0,49,79,"109Y06M"
"65000","新北市","65000130","土城區",12438,28,6,1887,5,58,1721,5278,687,831,146,224,227,354,217,0,17,4,281,467,"109Y06M"
"65000","新北市","65000140","蘆洲區",10399,10,4,1520,3,53,1234,4783,203,853,114,168,298,260,167,0,17,7,203,502,"109Y06M"
"65000","新北市","65000150","五股區",6538,11,5,1797,4,43,616,2641,129,236,63,194,257,157,83,0,7,2,97,196,"109Y06M"
"65000","新北市","65000160","泰山區",4420,7,2,741,0,28,467,2060,99,324,36,58,73,126,70,0,9,3,130,187,"109Y06M"
"65000","新北市","65000170","林口區",6204,15,3,548,13,41,565,2839,162,591,111,177,311,278,112,0,24,4,145,265,"109Y06M"
"65000","新北市","65000180","深坑區",1389,6,0,123,1,5,169,663,37,138,35,24,19,54,23,0,1,1,43,47,"109Y06M"
"65000","新北市","65000190","石碇區",182,4,0,17,0,1,17,87,1,41,3,3,0,3,0,0,1,0,2,2,"109Y06M"
"65000","新北市","65000200","坪林區",217,0,0,15,0,0,6,131,3,46,0,2,2,1,4,0,0,0,2,5,"109Y06M"
"65000","新北市","65000210","三芝區",1069,2,1,106,0,5,190,429,31,144,7,7,14,31,18,0,4,0,20,60,"109Y06M"
"65000","新北市","65000220","石門區",239,8,0,9,1,3,45,81,12,47,0,2,7,2,7,0,0,0,9,6,"109Y06M"
"65000","新北市","65000230","八里區",2159,7,2,323,1,26,282,929,94,141,17,35,46,54,74,1,6,0,46,75,"109Y06M"
"65000","新北市","65000240","平溪區",231,0,1,5,0,3,16,119,5,61,2,2,1,6,1,0,0,0,5,4,"109Y06M"
"65000","新北市","65000250","雙溪區",232,0,0,15,0,1,30,121,2,40,2,1,1,2,3,0,0,0,5,9,"109Y06M"
"65000","新北市","65000260","貢寮區",347,3,0,11,1,1,54,124,14,66,3,5,2,4,32,0,0,0,14,13,"109Y06M"
"65000","新北市","65000270","金山區",958,5,1,46,0,3,211,384,21,153,5,4,13,5,17,0,1,0,29,60,"109Y06M"
"65000","新北市","65000280","萬里區",686,7,1,31,4,2,110,290,23,122,6,5,5,20,19,0,1,0,15,25,"109Y06M"
"65000","新北市","65000290","烏來區",220,2,0,2,1,0,9,78,2,94,1,2,0,2,1,0,0,1,7,18,"109Y06M"
"63000","臺北市","63000010","松山區",23298,33,8,682,54,46,1192,10713,899,1826,1134,1686,1054,2131,495,1,91,25,454,774,"109Y06M"
"63000","臺北市","63000020","信義區",22213,31,7,558,20,73,1223,9630,473,1774,1426,1694,989,2440,491,1,131,27,422,803,"109Y06M"
"63000","臺北市","63000030","大安區",36650,72,5,984,43,54,1713,16263,629,3444,1980,2815,1748,3657,651,0,264,56,707,1565,"109Y06M"
"63000","臺北市","63000040","中山區",40915,92,17,1417,45,84,1912,18415,1270,3428,1654,3200,1755,3199,1817,0,172,46,753,1639,"109Y06M"
"63000","臺北市","63000050","中正區",19720,38,10,531,20,32,816,9126,618,1978,1049,1414,761,1634,421,2,147,33,407,683,"109Y06M"
"63000","臺北市","63000060","大同區",15914,39,1,705,11,33,636,9207,214,1387,432,812,474,780,270,0,36,15,259,603,"109Y06M"
"63000","臺北市","63000070","萬華區",15771,7,4,481,4,52,584,9778,214,1738,294,304,330,514,239,0,27,15,481,705,"109Y06M"
"63000","臺北市","63000080","文山區",9249,12,5,162,7,45,778,4575,167,1187,280,268,221,531,178,0,58,14,220,541,"109Y06M"
"63000","臺北市","63000090","南港區",7061,17,2,500,0,27,505,3278,210,682,295,342,175,378,126,0,18,4,142,360,"109Y06M"
"63000","臺北市","63000100","內湖區",20375,58,6,1173,18,45,1157,9746,453,1493,1223,1423,730,1382,338,0,77,20,361,672,"109Y06M"
"63000","臺北市","63000110","士林區",14606,17,4,688,8,50,682,7619,297,1850,348,521,450,629,206,0,89,18,367,763,"109Y06M"
"63000","臺北市","63000120","北投區",9764,27,2,346,4,40,651,4908,230,1354,217,269,218,365,192,0,32,11,246,652,"109Y06M"
"68000","桃園市","68000010","桃園區",27380,77,11,1918,16,149,2626,13025,684,2396,338,844,1099,1175,781,0,96,28,614,1503,"109Y06M"
"68000","桃園市","68000020","中壢區",24343,59,1,1496,16,151,2097,11328,497,3121,274,466,772,757,695,0,82,12,695,1824,"109Y06M"
"68000","桃園市","68000030","大溪區",4790,38,4,446,5,23,671,2264,117,513,30,39,71,89,122,0,10,0,90,258,"109Y06M"
"68000","桃園市","68000040","楊梅區",8178,67,4,1027,2,60,923,3418,177,970,67,133,190,137,205,0,17,3,202,576,"109Y06M"
"68000","桃園市","68000050","蘆竹區",9782,43,5,1814,7,92,830,4290,244,765,68,229,283,274,200,0,19,7,198,414,"109Y06M"
"68000","桃園市","68000060","大園區",4647,43,4,544,2,59,521,2069,268,394,44,67,168,69,113,0,3,3,103,173,"109Y06M"
"68000","桃園市","68000070","龜山區",9786,20,3,1746,6,40,868,4253,265,937,94,167,289,233,214,0,21,5,223,402,"109Y06M"
"68000","桃園市","68000080","八德區",9485,34,8,1352,3,73,1220,4521,133,656,78,114,198,218,202,0,13,2,183,477,"109Y06M"
"68000","桃園市","68000090","龍潭區",5713,43,5,694,9,39,652,2558,72,657,53,78,110,114,112,2,11,3,137,364,"109Y06M"
"68000","桃園市","68000100","平鎮區",10542,29,5,889,9,82,1336,4964,244,943,111,148,256,293,274,0,14,6,232,707,"109Y06M"
"68000","桃園市","68000110","新屋區",2298,80,7,418,2,24,201,940,38,252,13,15,23,17,43,0,4,0,54,167,"109Y06M"
"68000","桃園市","68000120","觀音區",2973,41,2,474,3,57,392,1251,84,253,9,20,70,37,79,0,2,0,75,124,"109Y06M"
"68000","桃園市","68000130","復興區",423,4,0,4,0,1,20,168,2,183,3,2,2,4,8,0,0,0,16,6,"109Y06M"
"66000","臺中市","66000010","中區",2859,6,0,81,3,3,67,1449,45,540,40,77,66,93,66,0,16,3,159,145,"109Y06M"
"66000","臺中市","66000020","東區",6634,10,2,1077,0,21,379,3389,100,579,63,83,121,163,114,0,24,12,129,368,"109Y06M"
"66000","臺中市","66000030","南區",8717,10,3,683,9,19,712,4203,152,986,149,163,255,475,196,0,21,11,138,532,"109Y06M"
