COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,H_BED,H_SRVP,H_SRVB,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,醫療院所家數,醫療院所床數,醫療院所平均每家服務人數,醫療院所平均每千人擁有病床數,資料時間
"65000","新北市","65000010","板橋區",608,3010,916.58,5.40,"109Y06M"
"65000","新北市","65000020","三重區",374,1529,1031.29,3.96,"109Y06M"
"65000","新北市","65000030","中和區",362,1845,1139.33,4.47,"109Y06M"
"65000","新北市","65000040","永和區",292,784,754.46,3.56,"109Y06M"
"65000","新北市","65000050","新莊區",377,2116,1118.53,5.02,"109Y06M"
"65000","新北市","65000060","新店區",230,2906,1319.60,9.57,"109Y06M"
"65000","新北市","65000070","樹林區",108,363,1702.72,1.97,"109Y06M"
"65000","新北市","65000080","鶯歌區",49,188,1784.86,2.15,"109Y06M"
"65000","新北市","65000090","三峽區",79,720,1479.72,6.16,"109Y06M"
"65000","新北市","65000100","淡水區",117,1842,1547.58,10.17,"109Y06M"
"65000","新北市","65000110","汐止區",135,907,1516.79,4.43,"109Y06M"
"65000","新北市","65000120","瑞芳區",21,64,1869.43,1.63,"109Y06M"
"65000","新北市","65000130","土城區",178,837,1337.56,3.52,"109Y06M"
"65000","新北市","65000140","蘆洲區",197,529,1026.80,2.62,"109Y06M"
"65000","新北市","65000150","五股區",33,32,2693.64,0.36,"109Y06M"
"65000","新北市","65000160","泰山區",58,627,1355.45,7.98,"109Y06M"
"65000","新北市","65000170","林口區",86,70,1376.26,0.59,"109Y06M"
"65000","新北市","65000180","深坑區",16,32,1485.69,1.35,"109Y06M"
"65000","新北市","65000190","石碇區",2,0,3786.50,0.00,"109Y06M"
"65000","新北市","65000200","坪林區",1,3,6720.00,0.45,"109Y06M"
"65000","新北市","65000210","三芝區",9,89,2521.44,3.92,"109Y06M"
"65000","新北市","65000220","石門區",2,0,5804.50,0.00,"109Y06M"
"65000","新北市","65000230","八里區",15,515,2636.33,13.02,"109Y06M"
"65000","新北市","65000240","平溪區",3,2,1494.33,0.45,"109Y06M"
"65000","新北市","65000250","雙溪區",4,3,2136.00,0.35,"109Y06M"
"65000","新北市","65000260","貢寮區",6,6,1983.00,0.50,"109Y06M"
"65000","新北市","65000270","金山區",8,88,2653.25,4.15,"109Y06M"
"65000","新北市","65000280","萬里區",5,3,4349.60,0.14,"109Y06M"
"65000","新北市","65000290","烏來區",3,6,2117.33,0.94,"109Y06M"
"63000","臺北市","63000010","松山區",309,1777,654.78,8.78,"109Y06M"
"63000","臺北市","63000020","信義區",301,1069,722.82,4.91,"109Y06M"
"63000","臺北市","63000030","大安區",858,3160,355.93,10.35,"109Y06M"
"63000","臺北市","63000040","中山區",489,2214,461.58,9.81,"109Y06M"
"63000","臺北市","63000050","中正區",299,3156,524.23,20.13,"109Y06M"
"63000","臺北市","63000060","大同區",169,3263,740.02,26.09,"109Y06M"
"63000","臺北市","63000070","萬華區",184,629,1004.88,3.40,"109Y06M"
"63000","臺北市","63000080","文山區",199,1027,1356.42,3.80,"109Y06M"
"63000","臺北市","63000090","南港區",84,79,1425.19,0.66,"109Y06M"
"63000","臺北市","63000100","內湖區",257,2665,1105.57,9.38,"109Y06M"
"63000","臺北市","63000110","士林區",315,1108,891.88,3.94,"109Y06M"
"63000","臺北市","63000120","北投區",206,5248,1221.96,20.85,"109Y06M"
"68000","桃園市","68000010","桃園區",527,4656,862.85,10.24,"109Y06M"
"68000","桃園市","68000020","中壢區",403,1874,1040.94,4.47,"109Y06M"
"68000","桃園市","68000030","大溪區",39,104,2453.31,1.09,"109Y06M"
"68000","桃園市","68000040","楊梅區",86,663,2025.57,3.81,"109Y06M"
"68000","桃園市","68000050","蘆竹區",115,204,1451.37,1.22,"109Y06M"
"68000","桃園市","68000060","大園區",42,545,2222.40,5.84,"109Y06M"
"68000","桃園市","68000070","龜山區",115,4604,1421.75,28.16,"109Y06M"
"68000","桃園市","68000080","八德區",113,259,1836.57,1.25,"109Y06M"
"68000","桃園市","68000090","龍潭區",69,954,1799.81,7.68,"109Y06M"
"68000","桃園市","68000100","平鎮區",90,1054,2540.27,4.61,"109Y06M"
"68000","桃園市","68000110","新屋區",13,236,3790.08,4.79,"109Y06M"
"68000","桃園市","68000120","觀音區",17,20,4018.65,0.29,"109Y06M"
"68000","桃園市","68000130","復興區",6,6,2053.17,0.49,"109Y06M"
"66000","臺中市","66000010","中區",62,576,295.27,31.46,"109Y06M"
"66000","臺中市","66000020","東區",93,304,815.53,4.01,"109Y06M"
"66000","臺中市","66000030","南區",168,1607,753.86,12.69,"109Y06M"
"66000","臺中市","66000040","西區",323,1406,356.19,12.22,"109Y06M"
"66000","臺中市","66000050","北區",304,2921,482.72,19.91,"109Y06M"
"66000","臺中市","66000060","西屯區",372,2812,620.39,12.18,"109Y06M"
"66000","臺中市","66000070","南屯區",348,1058,502.29,6.05,"109Y06M"
"66000","臺中市","66000080","北屯區",372,683,766.66,2.39,"109Y06M"
"66000","臺中市","66000090","豐原區",250,1357,666.38,8.15,"109Y06M"
"66000","臺中市","66000100","東勢區",54,184,916.35,3.72,"109Y06M"
"66000","臺中市","66000110","大甲區",84,533,909.93,6.97,"109Y06M"
"66000","臺中市","66000120","清水區",68,548,1290.19,6.25,"109Y06M"
"66000","臺中市","66000130","沙鹿區",86,1219,1105.09,12.83,"109Y06M"
"66000","臺中市","66000140","梧棲區",21,1509,2816.86,25.51,"109Y06M"
"66000","臺中市","66000150","后里區",46,30,1184.63,0.55,"109Y06M"
"66000","臺中市","66000160","神岡區",38,36,1726.26,0.55,"109Y06M"
"66000","臺中市","66000170","潭子區",96,1209,1138.41,11.06,"109Y06M"
"66000","臺中市","66000180","大雅區",81,310,1181.73,3.24,"109Y06M"
"66000","臺中市","66000190","新社區",15,0,1613.00,0.00,"109Y06M"
"66000","臺中市","66000200","石岡區",5,248,2937.80,16.88,"109Y06M"
"66000","臺中市","66000210","外埔區",11,2,2915.73,0.06,"109Y06M"
"66000","臺中市","66000220","大安區",3,6,6332.00,0.32,"109Y06M"
"66000","臺中市","66000230","烏日區",71,593,1067.46,7.82,"109Y06M"
